stage	date	truckID	shift	digblock	flitch	materialType	sp	tonnesTruck	planGrade	dilutedGrade	grabSample	ounces	comments
1	8/3/25	DT003	D	CPO_1_4850_0033_MW_001	4850	MW	ROM Sheeting	80	0.672434769	0.67	0.00	1.73	
1	8/3/25	DT003	D	CPO_1_4850_0033_MW_001	4850	MW	ROM Sheeting	80	0.672434769	0.67	0.00	1.73	
1	8/3/25	DT003	D	CPO_1_4850_0033_MW_001	4850	MW	ROM Sheeting	80	0.672434769	0.67	0.00	1.73	
1	8/3/25	DT003	D	CPO_1_4850_0033_MW_001	4850	MW	ROM Sheeting	80	0.672434769	0.67	0.00	1.73	
1	8/3/25	DT005	D	CPO_1_4850_0033_MW_001	4850	MW	ROM Sheeting	80	0.672434769	0.67	0.00	1.73	
1	8/3/25	DT005	D	CPO_1_4850_0033_MW_001	4850	MW	ROM Sheeting	80	0.672434769	0.67	0.00	1.73	
1	8/3/25	DT005	D	CPO_1_4850_0033_MW_001	4850	MW	ROM Sheeting	80	0.672434769	0.67	0.00	1.73	
1	8/3/25	DT005	D	CPO_1_4850_0033_MW_001	4850	MW	ROM Sheeting	80	0.672434769	0.67	0.00	1.73	
1	8/3/25	DT108	D	CPO_1_4850_0033_MW_001	4850	MW	ROM Sheeting	80	0.672434769	0.67	0.00	1.73	
1	8/3/25	DT108	D	CPO_1_4850_0033_MW_001	4850	MW	ROM Sheeting	80	0.672434769	0.67	0.00	1.73	
1	8/3/25	DT108	D	CPO_1_4850_0033_MW_001	4850	MW	ROM Sheeting	80	0.672434769	0.67	0.00	1.73	
1	8/4/25	DT003	D	CPO_1_4850_0033_MW_001	4850	MW	ROM Sheeting	80	0.672434769	0.67	0.00	1.73	
1	8/4/25	DT003	D	CPO_1_4850_0033_MW_001	4850	MW	ROM Sheeting	80	0.672434769	0.67	0.00	1.73	
1	8/4/25	DT003	D	CPO_1_4850_0033_MW_001	4850	MW	ROM Sheeting	80	0.672434769	0.67	0.00	1.73	
1	8/4/25	DT003	D	CPO_1_4850_0033_MW_001	4850	MW	ROM Sheeting	80	0.672434769	0.67	0.00	1.73	
1	8/4/25	DT003	D	CPO_1_4850_0033_MW_001	4850	MW	ROM Sheeting	80	0.672434769	0.67	0.00	1.73	
1	8/4/25	DT003	D	CPO_1_4850_0033_MW_001	4850	MW	ROM Sheeting	80	0.672434769	0.67	0.00	1.73	
1	8/4/25	DT108	D	CPO_1_4850_0033_MW_001	4850	MW	ROM Sheeting	80	0.672434769	0.67	0.00	1.73	
1	8/4/25	DT108	D	CPO_1_4850_0033_MW_001	4850	MW	ROM Sheeting	80	0.672434769	0.67	0.00	1.73	
1	8/4/25	DT108	D	CPO_1_4850_0033_MW_001	4850	MW	ROM Sheeting	80	0.672434769	0.67	0.00	1.73	
1	8/4/25	DT108	D	CPO_1_4850_0033_MW_001	4850	MW	ROM Sheeting	80	0.672434769	0.67	0.00	1.73	
1	8/4/25	DT108	D	CPO_1_4850_0033_MW_001	4850	MW	ROM Sheeting	80	0.672434769	0.67	0.00	1.73	
1	8/4/25	DT108	D	CPO_1_4850_0033_MW_001	4850	MW	ROM Sheeting	80	0.672434769	0.67	0.00	1.73	
